1 MESSAGETABLE
{
0x0,  	"The operation completed successfully."
1604,  	"Installation suspended, incomplete."
1605,  	"This action is only valid for products that are currently installed."
1606,  	"Feature ID not registered."
1607,  	"Component ID not registered."
1608,  	"Unknown property."
1609,  	"Handle is in an invalid state."
1610,  	"The configuration data for this product is corrupt.  Contact your support personnel."
1611,  	"Component qualifier not present."
1612,  	"The installation source for this product is not available.  Verify that the source exists and that you can access it."
1613,  	"This installation package cannot be installed by the Windows Installer service.  You must install a Windows service pack that contains a newer version of the Windows Installer service."
1614,  	"Product is uninstalled."
1615,  	"SQL query syntax invalid or unsupported."
1616,  	"Record field does not exist."
1617,  	"The device has been removed."
1618,  	"Another installation is already in progress.  Complete that installation before proceeding with this install."
1619,  	"This installation package could not be opened.  Verify that the package exists and that you can access it, or contact the application vendor to verify that this is a valid Windows Installer package."
1620,  	"This installation package could not be opened.  Contact the application vendor to verify that this is a valid Windows Installer package."
1621,  	"There was an error starting the Windows Installer service user interface.  Contact your support personnel."
1622,  	"Error opening installation log file. Verify that the specified log file location exists and that you can write to it."
1623,  	"The language of this installation package is not supported by your system."
1624,  	"Error applying transforms.  Verify that the specified transform paths are valid."
1625,  	"This installation is forbidden by system policy.  Contact your system administrator."
1626,  	"Function could not be executed."
1627,  	"Function failed during execution."
1628,  	"Invalid or unknown table specified."
1629,  	"Data supplied is of wrong type."
1630,  	"Data of this type is not supported."
1631,  	"The Windows Installer service failed to start.  Contact your support personnel."
1632,  	"The Temp folder is on a drive that is full or is inaccessible. Free up space on the drive or verify that you have write permission on the Temp folder."
1633,  	"This installation package is not supported by this processor type. Contact your product vendor."
1634,  	"Component not used on this computer."
1635,  	"This patch package could not be opened.  Verify that the patch package exists and that you can access it, or contact the application vendor to verify that this is a valid Windows Installer patch package."
